scenario,A15_K2,A12_K4,K2_E2plus_n,K2_E2plus_pct,K3_E2plus_n,K3_E2plus_pct,K4_E2plus_n,K4_E2plus_pct,K2_minus_K3_pp,K2_minus_K4_pp,mature_complete_n,mature_complete_pct,K3_mismatch_q0.4_n,K3_mismatch_q0.5_n,K3_mismatch_q0.6_n,K3_mature_physical_delta,K3_mature_physical_exact_p,K3_time_in_operation_delta_y,K3_time_in_operation_exact_p,K4_mismatch_q0.4_n,K4_mismatch_q0.5_n,K4_mismatch_q0.6_n,K4_mature_physical_delta,K4_mature_physical_exact_p,K4_time_in_operation_delta_y,K4_time_in_operation_exact_p
K2-low__K4-low,1,1,12,80.0,6,40.0,6,40.0,40.0,40.0,4,44.44444444444444,6,5,6,-0.03874062499999997,0.8571428571428571,10.71111111111111,0.008491508491508492,6,5,6,-0.009221875000000046,0.9714285714285714,7.911111111111111,0.07092907092907093
adjudicated,2,1,13,86.66666666666667,6,40.0,6,40.0,46.66666666666667,46.66666666666667,4,44.44444444444444,6,5,6,-0.03874062499999997,0.8571428571428571,10.71111111111111,0.008491508491508492,6,5,6,-0.009221875000000046,0.9714285714285714,7.911111111111111,0.07092907092907093
worst-gap,1,2,12,80.0,6,40.0,7,46.666666666666664,40.0,33.333333333333336,5,55.55555555555556,6,5,6,-0.03874062499999997,0.8571428571428571,10.71111111111111,0.008491508491508492,7,6,7,-0.1997658333333333,0.375,10.708333333333334,0.001998001998001998
K2-high__K4-high,2,2,13,86.66666666666667,6,40.0,7,46.666666666666664,46.66666666666667,40.00000000000001,5,55.55555555555556,6,5,6,-0.03874062499999997,0.8571428571428571,10.71111111111111,0.008491508491508492,7,6,7,-0.1997658333333333,0.375,10.708333333333334,0.001998001998001998
